file,lat,lon,rr,year,month,day,hour,minute,second
polPhs_PAZ1.2018.137.18.04.G12_2010.2640_V05.nc,-51.54,19.22,0.23,2018,5,17,18,4,25
polPhs_PAZ1.2018.137.22.27.G31_2010.2640_V05.nc,-44.28,89.00,0.31,2018,5,17,22,27,27
polPhs_PAZ1.2018.137.18.07.G06_2010.2640_V05.nc,-40.49,-9.51,0.43,2018,5,17,18,7,11
polPhs_PAZ1.2018.137.16.35.G03_2010.2640_V05.nc,-23.62,7.42,0.31,2018,5,17,16,35,31
polPhs_PAZ1.2018.137.11.21.G32_2010.2640_V05.nc,-41.19,-73.58,0.42,2018,5,17,11,21,23
polPhs_PAZ1.2018.137.06.25.G30_2010.2640_V05.nc,-1.86,7.78,2.70,2018,5,17,6,25,25
polPhs_PAZ1.2018.138.09.27.G12_2010.2640_V05.nc,-30.51,-46.19,0.76,2018,5,18,9,26,49
polPhs_PAZ1.2018.138.23.45.G32_2010.2640_V05.nc,-53.03,107.71,0.29,2018,5,18,23,45,16
polPhs_PAZ1.2018.138.16.13.G17_2010.2640_V05.nc,-51.41,30.46,0.18,2018,5,18,16,13,12
polPhs_PAZ1.2018.138.17.14.G07_2010.2640_V05.nc,-7.47,-157.28,0.15,2018,5,18,17,14,8
polPhs_PAZ1.2018.138.23.32.G25_2010.2640_V05.nc,-0.61,106.64,2.12,2018,5,18,23,32,19
polPhs_PAZ1.2018.138.07.10.G16_2010.2640_V05.nc,52.44,163.00,1.20,2018,5,18,7,11,4
polPhs_PAZ1.2018.138.00.17.G01_2010.2640_V05.nc,-56.98,-44.92,0.38,2018,5,18,0,17,29
polPhs_PAZ1.2018.138.21.24.G23_2010.2640_V05.nc,59.03,-32.77,0.43,2018,5,18,21,24,38
polPhs_PAZ1.2018.138.20.18.G17_2010.2640_V05.nc,10.34,161.83,0.46,2018,5,18,20,18,16
polPhs_PAZ1.2018.138.18.36.G08_2010.2640_V05.nc,47.53,179.66,1.58,2018,5,18,18,36,14
polPhs_PAZ1.2018.138.22.11.G31_2010.2640_V05.nc,-48.85,86.78,0.85,2018,5,18,22,11,32
polPhs_PAZ1.2018.138.01.23.G31_2010.2640_V05.nc,-0.41,84.25,2.13,2018,5,18,1,22,57
polPhs_PAZ1.2018.138.08.27.G26_2010.2640_V05.nc,-12.62,155.25,0.24,2018,5,18,8,27,39
polPhs_PAZ1.2018.138.09.52.G21_2010.2640_V05.nc,-54.56,131.64,0.17,2018,5,18,9,52,37
polPhs_PAZ1.2018.138.04.45.G05_2010.2640_V05.nc,-41.03,-3.50,0.22,2018,5,18,4,45,53
polPhs_PAZ1.2018.138.19.26.G29_2010.2640_V05.nc,-33.25,-7.51,0.19,2018,5,18,19,26,29
polPhs_PAZ1.2018.138.21.05.G05_2010.2640_V05.nc,-12.88,-61.09,0.27,2018,5,18,21,5,43
polPhs_PAZ1.2018.138.22.43.G08_2010.2640_V05.nc,2.91,-54.79,1.75,2018,5,18,22,43,46
polPhs_PAZ1.2018.138.02.24.G15_2010.2640_V05.nc,47.56,-118.52,0.30,2018,5,18,2,23,59
polPhs_PAZ1.2018.138.23.23.G12_2010.2640_V05.nc,33.81,114.49,0.26,2018,5,18,23,23,18
polPhs_PAZ1.2018.139.01.54.G17_2010.2640_V05.nc,6.94,-101.90,2.45,2018,5,19,1,54,9
polPhs_PAZ1.2018.139.21.41.G24_2010.2640_V05.nc,-8.58,137.90,0.76,2018,5,19,21,41,33
polPhs_PAZ1.2018.139.04.31.G09_2010.2640_V05.nc,-58.35,40.35,1.00,2018,5,19,4,30,53
polPhs_PAZ1.2018.139.12.06.G25_2010.2640_V05.nc,18.83,-78.57,3.57,2018,5,19,12,5,55
polPhs_PAZ1.2018.139.10.29.G03_2010.2640_V05.nc,24.62,-80.65,0.37,2018,5,19,10,29,7
polPhs_PAZ1.2018.139.12.00.G06_2010.2640_V05.nc,41.00,-97.51,0.46,2018,5,19,12,0,39
polPhs_PAZ1.2018.139.19.17.G31_2010.2640_V05.nc,2.23,-4.79,1.33,2018,5,19,19,17,15
polPhs_PAZ1.2018.139.00.20.G20_2010.2640_V05.nc,6.84,-112.64,1.76,2018,5,19,0,20,36
polPhs_PAZ1.2018.139.09.46.G27_2010.2640_V05.nc,-3.74,139.42,0.67,2018,5,19,9,46,22
polPhs_PAZ1.2018.139.09.11.G12_2010.2640_V05.nc,-36.40,-43.68,0.12,2018,5,19,9,11,17
polPhs_PAZ1.2018.139.02.25.G21_2010.2640_V05.nc,54.63,89.20,0.30,2018,5,19,2,25,17
polPhs_PAZ1.2018.139.14.48.G15_2010.2640_V05.nc,60.56,64.73,0.15,2018,5,19,14,48,22
polPhs_PAZ1.2018.139.16.52.G08_2010.2640_V05.nc,5.33,-147.18,0.91,2018,5,19,16,52,38
polPhs_PAZ1.2018.139.01.00.G29_2010.2640_V05.nc,23.05,90.71,1.93,2018,5,19,1,0,17
polPhs_PAZ1.2018.139.09.06.G32_2010.2640_V05.nc,-17.60,-62.86,7.04,2018,5,19,9,6,32
polPhs_PAZ1.2018.139.16.07.G24_2010.2640_V05.nc,3.48,44.40,1.46,2018,5,19,16,7,7
polPhs_PAZ1.2018.139.13.42.G31_2010.2640_V05.nc,6.06,-97.18,0.22,2018,5,19,13,41,47
polPhs_PAZ1.2018.139.17.42.G25_2010.2640_V05.nc,-4.52,15.01,0.12,2018,5,19,17,41,46
polPhs_PAZ1.2018.139.01.40.G01_2010.2640_V05.nc,-56.00,-94.78,0.16,2018,5,19,1,40,1
polPhs_PAZ1.2018.139.12.43.G18_2010.2640_V05.nc,-55.46,102.51,0.37,2018,5,19,12,43,51
polPhs_PAZ1.2018.139.14.31.G19_2010.2640_V05.nc,2.46,68.98,1.06,2018,5,19,14,32,5
polPhs_PAZ1.2018.140.14.36.G20_2010.2640_V05.nc,68.54,15.66,1.04,2018,5,20,14,35,42
polPhs_PAZ1.2018.140.23.33.G27_2010.2640_V05.nc,-49.59,-76.13,0.60,2018,5,20,23,33,10
polPhs_PAZ1.2018.140.08.41.G19_2010.2640_V05.nc,4.10,-23.45,0.28,2018,5,20,8,41,2
polPhs_PAZ1.2018.140.23.42.G07_2010.2640_V05.nc,-1.13,-68.60,0.93,2018,5,20,23,42,54
polPhs_PAZ1.2018.140.00.58.G26_2010.2640_V05.nc,-30.30,80.16,1.14,2018,5,20,0,58,15
polPhs_PAZ1.2018.140.01.48.G15_2010.2640_V05.nc,39.08,-116.35,0.18,2018,5,20,1,48,3
polPhs_PAZ1.2018.140.19.47.G17_2010.2640_V05.nc,-6.37,169.46,0.34,2018,5,20,19,47,44
polPhs_PAZ1.2018.140.16.24.G16_2010.2640_V05.nc,53.57,-134.44,0.50,2018,5,20,16,24,17
polPhs_PAZ1.2018.140.22.19.G05_2010.2640_V05.nc,33.20,-86.21,0.89,2018,5,20,22,19,39
polPhs_PAZ1.2018.140.08.11.G07_2010.2640_V05.nc,52.49,110.45,0.14,2018,5,20,8,11,29
polPhs_PAZ1.2018.140.00.03.G30_2010.2640_V05.nc,6.58,-78.60,0.16,2018,5,20,0,3,29
polPhs_PAZ1.2018.152.10.07.G25_2010.2640_V05.nc,-21.01,-57.60,0.82,2018,6,1,10,7,56
polPhs_PAZ1.2018.152.06.21.G03_2010.2640_V05.nc,58.62,140.39,0.13,2018,6,1,6,21,23
polPhs_PAZ1.2018.152.18.44.G31_2010.2640_V05.nc,11.68,4.31,0.12,2018,6,1,18,44,31
polPhs_PAZ1.2018.152.14.53.G07_2010.2640_V05.nc,-24.55,-141.62,0.44,2018,6,1,14,53,40
polPhs_PAZ1.2018.152.07.37.G26_2010.2640_V05.nc,-7.09,167.15,0.20,2018,6,1,7,37,27
polPhs_PAZ1.2018.152.10.55.G13_2010.2640_V05.nc,21.16,94.72,0.28,2018,6,1,10,55,23
polPhs_PAZ1.2018.152.19.46.G15_2010.2640_V05.nc,-60.13,160.75,0.16,2018,6,1,19,46,41
polPhs_PAZ1.2018.152.18.09.G17_2010.2640_V05.nc,-57.05,-160.41,0.27,2018,6,1,18,9,23
polPhs_PAZ1.2018.152.16.55.G02_2010.2640_V05.nc,-48.03,37.63,0.84,2018,6,1,16,55,49
polPhs_PAZ1.2018.152.01.20.G17_2010.2640_V05.nc,6.27,-95.58,0.75,2018,6,1,1,20,33
polPhs_PAZ1.2018.152.14.00.G32_2010.2640_V05.nc,9.12,42.26,1.04,2018,6,1,14,0,34
polPhs_PAZ1.2018.153.20.02.G16_2010.2640_V05.nc,3.09,-22.07,0.18,2018,6,2,20,2,6
